Target,Feature,Naive corr with y,Naive p-value,DML coef (adj. for other features),DML SE,DML p-value,DML q-value (FDR-BH),DML significant (FDR q<0.05),Interpretation
pfas_detected_FINAL,log_well_top_open_ft,-0.1943,1.2346975886255423e-209,-0.06365,0.00453,8.156382950403946e-45,1.060329783552513e-43,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,log_dist_pfas_clustered_km,-0.1701,2.2348026350287055e-160,-0.02443,0.003,3.4662834644883567e-16,2.2530842519174317e-15,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,precip_mm_ann,0.0885,2.5609022641234166e-44,8e-05,1e-05,1.5782531356425325e-12,6.83909692111764e-12,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,log_dist_military_km,-0.0816,5.76795150840494e-38,-0.02448,0.00379,1.0451666843390016e-10,3.3967917241017547e-10,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,FWT_GW,-0.1919,2.214605373385821e-204,-0.10961,0.01765,5.288699641430379e-10,1.3750619067718985e-09,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,Is Source Water Protected,-0.0345,5.493328929544264e-08,-0.03964,0.007,1.509962272676133e-08,3.2715849241316214e-08,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,source_urban_clr,0.0531,5.697088803881457e-17,0.0181,0.0033,3.995128346234046e-08,7.419524071577514e-08,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,log_dist_landfill_km,-0.0476,6.286263779908581e-14,-0.01857,0.00405,4.521773196845844e-06,7.347881444874496e-06,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,source_forest_clr,0.0676,1.5475461601205546e-26,-0.00562,0.00193,0.0035399813216312895,0.005113306353467418,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,log_dist_airport_km,-0.0533,4.3509177548801565e-17,-0.01214,0.00426,0.004379834968618917,0.005693785459204592,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,log_dist_fuds_km,-0.0615,2.921010505168725e-22,-0.01042,0.00422,0.013609240707953529,0.016083648109399624,Yes,Robust: still significant after controlling for all other features (FDR-corrected)
pfas_detected_FINAL,source_wetland_clr,0.0383,1.5793791108767431e-09,0.00051,0.0022,0.8180744491029468,0.8862473198615256,No,"Likely confounded/redundant, or too weak to distinguish from noise after multiple-testing correction"
pfas_detected_FINAL,log_well_screen_len_ft,-0.017,0.007393595783369403,0.00046,0.00351,0.8961716312033404,0.8961716312033404,No,"Likely confounded/redundant, or too weak to distinguish from noise after multiple-testing correction"
