feature,importance_mean,importance_std
log_well_top_open_ft,0.06420235815988096,0.003989889604741327
precip_mm_ann,0.03627364799152358,0.0024118241253630176
log_dist_pfas_clustered_km,0.02826300830284733,0.0014707079893678406
log_dist_fuds_km,0.015041861574265769,0.0012566072705817483
log_dist_military_km,0.014213905709135671,0.0008498535964192342
log_dist_landfill_km,0.013309461565337476,0.000980382777021952
log_well_screen_len_ft,0.01191146218393994,0.0009517542677521049
source_forest_clr,0.011615991829710298,0.001203311769052184
log_dist_wwtp_km,0.011365009149212135,0.0008684331655833396
log_dist_airport_km,0.010415359880397468,0.0009196184247534125
log_count_industry_in_huc12,0.009024125039687598,0.0007773631039529073
source_water_clr,0.008048584889974869,0.0008957091197192438
source_urban_clr,0.00804213352246717,0.0005299719740968314
source_agriculture_clr,0.006710788781886162,0.0007237573941468575
source_shrub_clr,0.005659489192906014,0.0005693703414139887
source_grassland_clr,0.004734819755738579,0.000501748153445458
Is Source Water Protected,0.0038229448664880263,0.0005337352282883216
treat_mfl,0.002495010866539943,0.0004731044073624446
treat_con,0.002320362725148739,0.0003990227040144411
FWT_GW,0.002214709482337296,0.0005156112775416923
sdwa_treated,0.0021055145355630524,0.000358834950158463
ROCK_100,0.0018885994029894271,0.00047241658933555304
ROCK_200,0.0017483262886450134,0.0003618433518908657
seller_chain_depth,0.001703235044784901,0.0002198351113600409
Primary Source_Surface water purchased,0.0016795079058576523,0.0005379237964520449
treat_gac,0.001329761792507622,0.00014131775057705376
treat_gwd,0.001324335355407147,0.00026940119243927145
disinfect_none,0.0012353998663490796,0.0003513062428306862
geochem_U_count,0.001175931126498725,0.00023347446436876697
ROCK_400,0.0009959988994525104,0.0002374581250924051
ROCK_999,0.0009831246347261845,0.00022882931944746265
ROCK_600,0.0008223301360059665,0.00025085749413746234
treat_pac,0.0008073889282917579,0.0002303836280247617
disinfect_ozone,0.0005914190093159133,9.062844662500425e-05
PWS Type_Non-Transient non-community system,0.0005224924394300445,6.390241441293543e-05
ROCK_500,0.00044779209491675466,0.0001131996904729889
disinfect_uv,0.00040981842332905584,0.00013876507583955973
log_count_landfills_in_huc12,0.0003033794005386947,0.00018052065752270074
ROCK_300,0.00027514826187745035,0.0002578699061916199
Primary Source_Groundwater under influence of surface water,0.00023529555120982982,0.00012939654509220956
log_count_fuds_in_huc12,0.00011797518392945295,0.00022832019796457782
log_count_airports_in_huc12,8.565571175494501e-05,9.857776335597389e-05
Primary Source_Ground water purchased,6.505461056969808e-05,3.572867469813386e-05
PWS Type_Transient non-community system,0.0,0.0
FWT_MX,-1.0032929875170016e-05,1.899744205906604e-05
log_count_military_in_huc12,-0.00021378909483156793,0.0002054960840998685
