PWSID,pfas_detected,Is Wholesaler,Is Source Water Protected,# of Facilities,PWS Type_Community water system,PWS Type_Non-Transient non-community system,PWS Type_Transient non-community system,Primary Source_Ground water,Primary Source_Ground water purchased,Primary Source_Groundwater under influence of surface water,Primary Source_Surface water,Primary Source_Surface water purchased,Service Area_Municipality,Service Area_Residential Area,Service Area_Institution,Service Area_School,Service Area_Industrial/Agricultural,geochem_U_count,seller_chain_depth,treat_gac,treat_pac,treat_mfl,treat_iex,treat_con,treat_gwd,disinfect_none,disinfect_uv,disinfect_ozone,sdwa_treated,sdwa_filtered,is_purchased,source_water_pct,source_agriculture_pct,source_urban_pct,source_forest_pct,source_grassland_pct,source_shrub_pct,source_wetland_pct,source_barren_pct,source_other_pct,log_Population Served Count,log_Service Connections Count,log_dist_industry_km,log_dist_fuds_km,log_dist_military_km,log_count_industry_in_huc12,log_count_discharge_in_huc12,log_count_manufacturer_in_huc12,log_count_fuds_in_huc12,log_count_military_in_huc12,log_well_top_open_ft,log_well_screen_len_ft,log_dist_wwtp_km,log_count_wwtp_in_huc12,log_dist_airport_km,log_count_airports_in_huc12,log_dist_landfill_km,log_count_landfills_in_huc12,FWT_GU,FWT_GW,FWT_MX,FWT_SW,ROCK_100,ROCK_200,ROCK_300,ROCK_400,ROCK_500,ROCK_600,ROCK_999,ROCK_missing,precip_mm_ann,log_dist_pfas_clustered_km
CT0040011,0.0,0.0,1.0,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,9.357984213888743,8.501267040865978,0.4526667095924585,2.6828007668487595,2.922763652093696,1.9459101490553128,0.0,0.0,0.0,0.0,3.557979462212819,3.766997233377889,2.116219369571008,0.0,2.9869942076107057,0.0,3.1761937681710464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1318.35693359375,3.012535308528702
CT0040011,1.0,0.0,1.0,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,9.357984213888743,8.501267040865978,0.4526667095924585,2.6828007668487595,2.922763652093696,1.9459101490553128,0.0,0.0,0.0,0.0,3.557979462212819,3.766997233377889,2.116219369571008,0.0,2.9869942076107057,0.0,3.1761937681710464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1318.35693359375,3.012535308528702
CT0040011,1.0,0.0,1.0,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,9.357984213888743,8.501267040865978,0.4526667095924585,2.6828007668487595,2.922763652093696,1.9459101490553128,0.0,0.0,0.0,0.0,3.557979462212819,3.766997233377889,2.116219369571008,0.0,2.9869942076107057,0.0,3.1761937681710464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1318.35693359375,3.012535308528702
CT0040011,0.0,0.0,1.0,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,9.357984213888743,8.501267040865978,0.4526667095924585,2.6828007668487595,2.922763652093696,1.9459101490553128,0.0,0.0,0.0,0.0,3.557979462212819,3.766997233377889,2.116219369571008,0.0,2.9869942076107057,0.0,3.1761937681710464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1318.35693359375,3.012535308528702
CT0040011,1.0,0.0,1.0,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,9.357984213888743,8.501267040865978,0.4526667095924585,2.6828007668487595,2.922763652093696,1.9459101490553128,0.0,0.0,0.0,0.0,3.557979462212819,3.766997233377889,2.116219369571008,0.0,2.9869942076107057,0.0,3.1761937681710464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1318.35693359375,3.012535308528702
CT0040011,0.0,0.0,1.0,54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,9.357984213888743,8.501267040865978,0.4526667095924585,2.6828007668487595,2.922763652093696,1.9459101490553128,0.0,0.0,0.0,0.0,3.557979462212819,3.766997233377889,2.116219369571008,0.0,2.9869942076107057,0.0,3.1761937681710464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1318.35693359375,3.012535308528702
CT0050062,0.0,0.0,1.0,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.4093,1.5146,7.0155,79.264,0.6266,0.7496,6.7045,0.7159,0.0,4.709530201312334,1.0986122886681098,1.4775965195266767,3.366195224542441,3.251188114335448,0.6931471805599453,0.0,0.0,0.0,0.0,3.834480621639064,2.7809716300751326,1.8539984735021149,0.6931471805599453,3.3057651944152253,0.0,3.699312341785159,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1323.369873046875,3.3134621063577168
CT0070011,0.0,0.0,1.0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,8.929832503272403,8.025516386489008,1.4097667173050328,2.461382104741044,2.743114853891252,2.19722457733622,0.0,0.0,0.0,0.0,3.7733166771136006,3.0919511520830745,2.3015045093738014,0.0,2.7902198759457235,0.0,2.7666398125123703,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1279.6429443359375,3.140274078511065
CT0070011,0.0,0.0,1.0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,8.929832503272403,8.025516386489008,1.4097667173050328,2.461382104741044,2.743114853891252,2.19722457733622,0.0,0.0,0.0,0.0,,,2.3015045093738014,0.0,2.7902198759457235,0.0,2.7666398125123703,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1279.6429443359375,3.140274078511065
CT0070021,0.0,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.6485,4.444100000000001,35.16075,47.08325,0.59005,0.43025,6.15485,0.4881999999999999,0.0,8.542665987389269,7.846980982138788,1.8818286663169224,2.291453364565493,3.230195514750892,1.6094379124341005,0.0,0.0,0.6931471805599453,0.0,3.4830845247320785,4.600760452977432,2.0003171622138463,1.3862943611198906,3.63420149082316,0.0,3.558098561109199,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1279.6429443359375,3.2643844200989665
