feature,importance,rank
precip_mm_ann,0.08729125472285046,1
log_dist_pfas_clustered_km,0.06842796480530447,2
log_well_top_open_ft,0.04746288459289055,3
log_dist_military_km,0.04718570907971435,4
# of Facilities,0.04432876940494098,5
log_well_screen_len_ft,0.042805081832996465,6
log_Population Served Count,0.04015100122376677,7
log_Service Connections Count,0.0401429508169023,8
log_dist_fuds_km,0.03491776965659213,9
log_dist_airport_km,0.03192640172409165,10
log_dist_landfill_km,0.031202580055601486,11
log_dist_industry_km,0.030560155265180283,12
log_dist_wwtp_km,0.02762485291186445,13
source_water_clr,0.027013480552110322,14
source_barren_clr,0.02510520708931523,15
log_count_industry_in_huc12,0.02124398982479118,16
source_urban_clr,0.02103128320129266,17
log_count_wwtp_in_huc12,0.02050867019581548,18
source_other_clr,0.02018497487387502,19
source_wetland_clr,0.020103883058372126,20
source_grassland_clr,0.020072775465238696,21
source_forest_clr,0.01985441764015999,22
source_agriculture_clr,0.018796624382217554,23
source_shrub_clr,0.01699211117104106,24
Service Area_Residential Area,0.01575794573012174,25
is_purchased,0.01288925952910802,26
treat_gwd,0.012840086484167807,27
treat_con,0.0125993648488781,28
ROCK_600,0.011609722433103518,29
treat_gac,0.011067813880168375,30
ROCK_300,0.009478974419412315,31
FWT_SW,0.007459381626954552,32
log_count_discharge_in_huc12,0.007441677453021272,33
geochem_U_count,0.006842659491812263,34
FWT_GW,0.00681223768335371,35
disinfect_uv,0.006521593066534689,36
treat_iex,0.005561498672760628,37
disinfect_none,0.005419001081229189,38
Is Source Water Protected,0.0054070493698147645,39
ROCK_999,0.005066796612181308,40
Primary Source_Surface water purchased,0.004252840444510349,41
log_count_fuds_in_huc12,0.0040735753667777265,42
Service Area_Municipality,0.004051033679823663,43
Primary Source_Surface water,0.003935551458276183,44
sdwa_filtered,0.003705646072004444,45
sdwa_treated,0.002994142038401153,46
ROCK_200,0.002787413305488388,47
Primary Source_Ground water,0.002676145814604592,48
Is Wholesaler,0.002445848793675658,49
seller_chain_depth,0.002057700705270828,50
disinfect_ozone,0.0018888196660278892,51
ROCK_400,0.0018487388657812275,52
treat_mfl,0.0017479314565453535,53
ROCK_500,0.0015648020887690695,54
Service Area_Industrial/Agricultural,0.0014282183246710808,55
treat_pac,0.0013128360685053409,56
Service Area_Institution,0.0010872384562744656,57
log_count_manufacturer_in_huc12,0.0010864347588160576,58
ROCK_missing,0.0010338335378522181,59
log_count_military_in_huc12,0.000954133319073023,60
log_count_airports_in_huc12,0.0007977351444840699,61
Service Area_School,0.0007644491961898023,62
FWT_MX,0.0007500425938802104,63
log_count_landfills_in_huc12,0.0006723679474388461,64
PWS Type_Community water system,0.0005678169253410921,65
Primary Source_Groundwater under influence of surface water,0.0004893901266050578,66
FWT_GU,0.00048536448040190365,67
PWS Type_Non-Transient non-community system,0.0004273549286423273,68
Primary Source_Ground water purchased,0.00040273850632030467,69
