PWSID,pfas_detected,Is Wholesaler,Is Source Water Protected,# of Facilities,PWS Type_Community water system,PWS Type_Non-Transient non-community system,PWS Type_Transient non-community system,Primary Source_Ground water,Primary Source_Ground water purchased,Primary Source_Groundwater under influence of surface water,Primary Source_Surface water,Primary Source_Surface water purchased,Service Area_Municipality,Service Area_Residential Area,Service Area_Institution,Service Area_School,Service Area_Industrial/Agricultural,geochem_U_count,seller_chain_depth,treat_gac,treat_pac,treat_mfl,treat_iex,treat_con,treat_gwd,disinfect_none,disinfect_uv,disinfect_ozone,sdwa_treated,sdwa_filtered,is_purchased,source_water_pct,source_agriculture_pct,source_urban_pct,source_forest_pct,source_grassland_pct,source_shrub_pct,source_wetland_pct,source_barren_pct,source_other_pct,log_Population Served Count,log_Service Connections Count,log_dist_industry_km,log_dist_fuds_km,log_dist_military_km,log_count_industry_in_huc12,log_count_discharge_in_huc12,log_count_manufacturer_in_huc12,log_count_fuds_in_huc12,log_count_military_in_huc12,log_well_top_open_ft,log_well_screen_len_ft,log_dist_wwtp_km,log_count_wwtp_in_huc12,log_dist_airport_km,log_count_airports_in_huc12,log_dist_landfill_km,log_count_landfills_in_huc12,FWT_GU,FWT_GW,FWT_MX,FWT_SW,ROCK_100,ROCK_200,ROCK_300,ROCK_400,ROCK_500,ROCK_600,ROCK_999,ROCK_missing,precip_mm_ann,log_dist_pfas_clustered_km
AL0000001,0.0,0.0,1.0,27,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,8.95040315983296,7.852050207265889,2.2625544519376923,3.449527122392664,3.376986652947097,0.0,0.0,0.0,0.0,0.0,5.039114732461776,3.3202284340290014,2.303614562908007,0.0,3.555973580097566,0.0,3.3670406250106613,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.5260009765625,4.871114189384046
AL0000001,0.0,0.0,1.0,27,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,8.95040315983296,7.852050207265889,2.2625544519376923,3.449527122392664,3.376986652947097,0.0,0.0,0.0,0.0,0.0,5.039114732461776,3.3202284340290014,2.303614562908007,0.0,3.555973580097566,0.0,3.3670406250106613,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.5260009765625,4.871114189384046
AL0000001,0.0,0.0,1.0,27,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,8.95040315983296,7.852050207265889,2.2625544519376923,3.449527122392664,3.376986652947097,0.0,0.0,0.0,0.0,0.0,5.039114732461776,3.3202284340290014,2.303614562908007,0.0,3.555973580097566,0.0,3.3670406250106613,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.5260009765625,4.871114189384046
AL0000013,1.0,0.0,1.0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,9.06773940337716,7.969357742016346,2.106399878260917,4.133925787306223,4.141411019439684,0.0,0.0,0.0,0.0,0.0,,,2.185972621959495,0.0,4.234688943642356,0.0,3.614476438439155,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.6529541015625,4.528399286773842
AL0000013,0.0,0.0,1.0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,9.06773940337716,7.969357742016346,2.106399878260917,4.133925787306223,4.141411019439684,0.0,0.0,0.0,0.0,0.0,4.418840607796598,2.3978952727983707,2.185972621959495,0.0,4.234688943642356,0.0,3.614476438439155,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.6529541015625,4.528399286773842
AL0000017,1.0,0.0,1.0,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,1.0,3.2361,17.25445,33.6329,33.7029,2.1897,2.4517,6.6158,0.91655,0.0,10.749677656730794,9.651108271786734,2.4522973662223726,2.846588206366033,3.1718345305340288,1.0986122886681098,0.0,0.0,0.0,0.0,,,2.561697923428023,0.6931471805599453,3.7167791137489816,0.0,3.30330888084303,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.240966796875,4.71386583390433
AL0000017,1.0,0.0,1.0,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,1.0,3.2361,17.25445,33.6329,33.7029,2.1897,2.4517,6.6158,0.91655,0.0,10.749677656730794,9.651108271786734,2.4522973662223726,2.846588206366033,3.1718345305340288,1.0986122886681098,0.0,0.0,0.0,0.0,4.098070104303506,5.348827822859522,2.561697923428023,0.6931471805599453,3.7167791137489816,0.0,3.30330888084303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.240966796875,4.71386583390433
AL0000017,1.0,0.0,1.0,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,1.0,3.2361,17.25445,33.6329,33.7029,2.1897,2.4517,6.6158,0.91655,0.0,10.749677656730794,9.651108271786734,2.4522973662223726,2.846588206366033,3.1718345305340288,1.0986122886681098,0.0,0.0,0.0,0.0,4.098070104303506,5.348827822859522,2.561697923428023,0.6931471805599453,3.7167791137489816,0.0,3.30330888084303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.240966796875,4.71386583390433
AL0000017,1.0,0.0,1.0,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,1.0,3.2361,17.25445,33.6329,33.7029,2.1897,2.4517,6.6158,0.91655,0.0,10.749677656730794,9.651108271786734,2.4522973662223726,2.846588206366033,3.1718345305340288,1.0986122886681098,0.0,0.0,0.0,0.0,4.098070104303506,5.348827822859522,2.561697923428023,0.6931471805599453,3.7167791137489816,0.0,3.30330888084303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.240966796875,4.71386583390433
AL0000017,1.0,0.0,1.0,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,1.0,3.2361,17.25445,33.6329,33.7029,2.1897,2.4517,6.6158,0.91655,0.0,10.749677656730794,9.651108271786734,2.4522973662223726,2.846588206366033,3.1718345305340288,1.0986122886681098,0.0,0.0,0.0,0.0,4.098070104303506,5.348827822859522,2.561697923428023,0.6931471805599453,3.7167791137489816,0.0,3.30330888084303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.240966796875,4.71386583390433
